Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 1.43505e+07 681394 3 0 11.2622 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 1.43505e+07 680960 3.05631 1.12622 11.2756 1.18567 101290 297.98 0.750004 -8.90154 9.79827 0.751939 0.00325481 -9.77207 434.5 0.00305631 
0.2 1.43505e+07 680525 3.22531 2.25379 11.2891 1.18565 101288 297.979 0.750016 -35.6486 9.79826 3.0113 0.00651351 -9.77207 434.5 0.00322531 
0.3 1.43505e+07 680091 3.50714 3.38269 11.3025 1.18562 101284 297.977 0.750036 -80.305 9.79826 6.78331 0.00977611 -9.77207 434.5 0.00350714 
0.4 1.43505e+07 679656 3.90192 4.51294 11.3159 1.18558 101280 297.975 0.750064 -142.934 9.79826 12.0731 0.0130426 -9.77206 434.5 0.00390192 
0.5 1.43505e+07 679222 4.40979 5.64452 11.3293 1.18552 101274 297.971 0.7501 -223.601 9.79826 18.8858 0.016313 -9.77206 434.5 0.00440979 
0.6 1.43505e+07 678787 5.03089 6.77745 11.3426 1.18546 101267 297.967 0.750144 -322.368 9.79826 27.2263 0.0195874 -9.77206 434.5 0.00503089 
0.7 1.43505e+07 678353 5.76535 7.91171 11.356 1.18538 101258 297.963 0.750196 -439.299 9.79826 37.0994 0.0228657 -9.77205 434.5 0.00576535 
0.8 1.43505e+07 677918 6.6133 9.04731 11.3694 1.18528 101248 297.957 0.750257 -574.459 9.79825 48.51 0.026148 -9.77205 434.5 0.0066133 
0.9 1.43505e+07 677484 7.57488 10.1843 11.3827 1.18518 101237 297.951 0.750325 -727.912 9.79825 61.4626 0.0294342 -9.77204 434.5 0.00757488 
1 1.43505e+07 677049 8.65022 11.3225 11.3961 1.18506 101225 297.944 0.750402 -899.722 9.79825 75.9619 0.0327244 -9.77203 434.5 0.00865022 
1.1 1.43505e+07 676615 9.83945 12.4621 11.4094 1.18493 101211 297.936 0.750487 -1089.95 9.79824 92.0123 0.0360185 -9.77203 434.5 0.00983945 
1.2 1.43505e+07 676180 11.1427 13.6031 11.4227 1.18478 101196 297.928 0.75058 -1298.67 9.79824 109.618 0.0393167 -9.77202 434.5 0.0111427 
1.3 1.43505e+07 675746 12.5601 14.7453 11.436 1.18463 101179 297.918 0.750682 -1525.94 9.79824 128.784 0.0426188 -9.77201 434.5 0.0125601 
1.4 1.43505e+07 675311 14.0918 15.8889 11.4493 1.18446 101161 297.908 0.750792 -1771.82 9.79823 149.513 0.0459249 -9.772 434.5 0.0140918 
1.5 1.43505e+07 674877 15.738 17.0339 11.4626 1.18428 101142 297.898 0.750911 -2036.37 9.79823 171.811 0.0492351 -9.77199 434.5 0.015738 
1.6 1.43505e+07 674442 17.4987 18.1801 11.4759 1.18408 101122 297.886 0.751038 -2319.68 9.79822 195.68 0.0525493 -9.77197 434.5 0.0174987 
1.7 1.43505e+07 674008 19.3741 19.3277 11.4892 1.18388 101100 297.874 0.751173 -2621.79 9.79822 221.125 0.0558675 -9.77196 434.5 0.0193741 
1.8 1.43505e+07 673573 21.3643 20.4766 11.5024 1.18366 101077 297.861 0.751317 -2942.77 9.79821 248.15 0.0591898 -9.77195 434.5 0.0213643 
1.9 1.43505e+07 673139 23.4695 21.6269 11.5157 1.18343 101053 297.847 0.75147 -3282.69 9.7982 276.758 0.0625161 -9.77193 434.5 0.0234695 
2 1.43505e+07 672704 25.6897 22.7785 11.5289 1.18318 101027 297.833 0.751631 -3641.62 9.7982 306.952 0.0658465 -9.77192 434.5 0.0256897 
2.1 1.43505e+07 672270 28.0252 23.9314 11.5422 1.18293 101000 297.818 0.751801 -4019.61 9.79819 338.737 0.069181 -9.7719 434.5 0.0280252 
2.2 1.43505e+07 671835 30.4761 25.0856 11.5554 1.18266 100971 297.802 0.75198 -4416.74 9.79818 372.115 0.0725196 -9.77189 434.5 0.0304761 
2.3 1.43505e+07 671401 33.0424 26.2411 11.5686 1.18238 100942 297.785 0.752168 -4833.07 9.79817 407.09 0.0758622 -9.77187 434.5 0.0330424 
2.4 1.43505e+07 670966 35.7244 27.398 11.5818 1.18208 100911 297.768 0.752364 -5268.67 9.79816 443.664 0.079209 -9.77185 434.5 0.0357244 
2.5 1.43505e+07 670532 38.5221 28.5561 11.595 1.18177 100878 297.75 0.752569 -5723.59 9.79816 481.841 0.0825599 -9.77183 434.5 0.0385221 
2.6 1.43505e+07 670097 41.4357 29.7156 11.6081 1.18145 100845 297.731 0.752783 -6197.92 9.79815 521.624 0.0859149 -9.77181 434.5 0.0414357 
2.7 1.43505e+07 669663 44.4653 30.8765 11.6213 1.18112 100810 297.711 0.753007 -6691.71 9.79814 563.015 0.089274 -9.77179 434.5 0.0444653 
2.8 1.43505e+07 669228 47.611 32.0386 11.6344 1.18078 100773 297.691 0.753239 -7205.03 9.79813 606.017 0.0926373 -9.77177 434.5 0.047611 
2.9 1.43505e+07 668794 50.873 33.202 11.6476 1.18042 100735 297.669 0.75348 -7737.95 9.79812 650.632 0.0960047 -9.77175 434.5 0.050873 
3 1.43505e+07 668359 54.2515 34.3668 11.6607 1.18005 100696 297.647 0.753731 -8290.54 9.79811 696.864 0.0993763 -9.77173 434.5 0.0542515 
3.1 1.43505e+07 667925 57.7465 35.5329 11.6738 1.17967 100656 297.625 0.753991 -8862.86 9.7981 744.713 0.102752 -9.7717 434.5 0.0577465 
3.2 1.43505e+07 667490 61.3581 36.7002 11.6869 1.17927 100614 297.601 0.75426 -9454.98 9.79809 794.184 0.106132 -9.77168 434.5 0.0613581 
3.3 1.43505e+07 667056 65.0866 37.8689 11.7 1.17886 100571 297.577 0.754539 -10067 9.79807 845.276 0.109516 -9.77165 434.5 0.0650866 
3.4 1.43505e+07 666621 68.932 39.0389 11.7131 1.17844 100527 297.552 0.754826 -10698.9 9.79806 897.994 0.112905 -9.77163 434.5 0.068932 
3.5 1.43505e+07 666187 72.8944 40.2102 11.7262 1.17801 100481 297.526 0.755124 -11350.8 9.79805 952.337 0.116297 -9.7716 434.5 0.0728944 
3.6 1.43505e+07 665752 76.9741 41.3829 11.7392 1.17756 100434 297.5 0.755431 -12022.8 9.79804 1008.31 0.119694 -9.77157 434.5 0.0769741 
3.7 1.43505e+07 665318 81.1711 42.5568 11.7522 1.1771 100386 297.472 0.755748 -12715 9.79803 1065.91 0.123095 -9.77155 434.5 0.0811711 
3.8 1.43505e+07 664883 85.4855 43.732 11.7653 1.17663 100336 297.444 0.756074 -13427.4 9.79801 1125.14 0.1265 -9.77152 434.5 0.0854855 
3.9 1.43505e+07 664449 89.9175 44.9085 11.7783 1.17614 100285 297.416 0.75641 -14160 9.798 1186.01 0.12991 -9.77149 434.5 0.0899175 
4 1.43505e+07 664014 94.4673 46.0864 11.7913 1.17564 100232 297.386 0.756756 -14913 9.79798 1248.51 0.133324 -9.77146 434.5 0.0944673 
4.1 1.43505e+07 663580 99.1349 47.2655 11.8043 1.17513 100179 297.356 0.757112 -15686.4 9.79797 1312.64 0.136742 -9.77142 434.5 0.0991349 
4.2 1.43505e+07 663145 103.92 48.4459 11.8172 1.17461 100124 297.325 0.757478 -16480.4 9.79796 1378.41 0.140164 -9.77139 434.5 0.10392 
4.3 1.43505e+07 662711 108.824 49.6276 11.8302 1.17408 100067 297.293 0.757854 -17294.9 9.79794 1445.82 0.143591 -9.77136 434.5 0.108824 
4.4 1.43505e+07 662276 113.846 50.8107 11.8431 1.17353 100010 297.26 0.75824 -18130 9.79792 1514.86 0.147022 -9.77133 434.5 0.113846 
4.5 1.43505e+07 661842 118.986 51.995 11.8561 1.17297 99950.5 297.227 0.758636 -18985.8 9.79791 1585.54 0.150457 -9.77129 434.5 0.118986 
4.6 1.43505e+07 661407 124.245 53.1806 11.869 1.17239 99890.1 297.192 0.759043 -19862.5 9.79789 1657.86 0.153897 -9.77125 434.5 0.124245 
4.7 1.43505e+07 660973 129.623 54.3675 11.8819 1.1718 99828.4 297.157 0.75946 -20760 9.79788 1731.82 0.157341 -9.77122 434.5 0.129623 
4.8 1.43505e+07 660538 135.119 55.5557 11.8948 1.17121 99765.3 297.122 0.759887 -21678.4 9.79786 1807.42 0.160789 -9.77118 434.5 0.135119 
4.9 1.43505e+07 660104 140.734 56.7451 11.9076 1.17059 99700.9 297.085 0.760325 -22617.8 9.79784 1884.66 0.164242 -9.77114 434.5 0.140734 
5 1.43505e+07 659669 146.468 57.9359 11.9205 1.16997 99635.2 297.048 0.760774 -23578.4 9.79782 1963.54 0.167699 -9.7711 434.5 0.146468 
5.1 1.43505e+07 659235 152.321 59.128 11.9333 1.16933 99568.1 297.01 0.761233 -24560.1 9.79781 2044.06 0.17116 -9.77106 434.5 0.152321 
5.2 1.43505e+07 658800 158.293 60.3213 11.9462 1.16868 99499.8 296.971 0.761704 -25563 9.79779 2126.21 0.174626 -9.77102 434.5 0.158293 
5.3 1.43505e+07 658366 164.385 61.5159 11.959 1.16802 99430.1 296.932 0.762185 -26587.2 9.79777 2210.01 0.178096 -9.77098 434.5 0.164385 
5.4 1.43505e+07 657931 170.597 62.7118 11.9718 1.16734 99359 296.891 0.762677 -27632.9 9.79775 2295.44 0.181571 -9.77094 434.5 0.170597 
5.5 1.43505e+07 657497 176.928 63.909 11.9846 1.16665 99286.7 296.85 0.763181 -28700 9.79773 2382.52 0.18505 -9.7709 434.5 0.176928 
5.6 1.43505e+07 657062 183.379 65.1074 11.9973 1.16595 99213 296.808 0.763695 -29788.7 9.79771 2471.22 0.188533 -9.77085 434.5 0.183379 
5.7 1.43505e+07 656628 189.949 66.3072 12.0101 1.16524 99138 296.765 0.764222 -30899 9.79769 2561.57 0.192021 -9.77081 434.5 0.189949 
5.8 1.43505e+07 656193 196.64 67.5082 12.0228 1.16451 99061.6 296.722 0.764759 -32031 9.79767 2653.55 0.195513 -9.77076 434.5 0.19664 
5.9 1.43505e+07 655759 203.451 68.7105 12.0355 1.16377 98984 296.678 0.765308 -33184.8 9.79765 2747.16 0.19901 -9.77071 434.5 0.203451 
6 1.43505e+07 655324 210.382 69.914 12.0482 1.16302 98905 296.633 0.765869 -34360.5 9.79763 2842.41 0.202512 -9.77067 434.5 0.210382 
6.1 1.43505e+07 654890 217.434 71.1188 12.0609 1.16226 98824.7 296.587 0.766441 -35558.1 9.79761 2939.28 0.206017 -9.77062 434.5 0.217434 
6.2 1.43505e+07 654455 224.606 72.3249 12.0736 1.16148 98743.1 296.54 0.767026 -36777.8 9.79758 3037.79 0.209528 -9.77057 434.5 0.224606 
6.3 1.43505e+07 654021 231.899 73.5323 12.0863 1.16069 98660.2 296.493 0.767622 -38019.7 9.79756 3137.92 0.213042 -9.77052 434.5 0.231899 
6.4 1.43505e+07 653586 239.313 74.7409 12.0989 1.15989 98575.9 296.445 0.768231 -39283.7 9.79754 3239.68 0.216562 -9.77047 434.5 0.239313 
6.5 1.43505e+07 653152 246.847 75.9508 12.1115 1.15907 98490.4 296.396 0.768852 -40570.1 9.79752 3343.07 0.220086 -9.77042 434.5 0.246847 
6.6 1.43505e+07 652717 254.503 77.162 12.1241 1.15824 98403.5 296.346 0.769485 -41878.9 9.79749 3448.07 0.223614 -9.77036 434.5 0.254503 
6.7 1.43505e+07 652283 262.28 78.3744 12.1367 1.1574 98315.3 296.295 0.770131 -43210.2 9.79747 3554.7 0.227147 -9.77031 434.5 0.26228 
6.8 1.43505e+07 651848 270.178 79.588 12.1493 1.15655 98225.8 296.244 0.770789 -44564 9.79744 3662.94 0.230684 -9.77026 434.5 0.270178 
6.9 1.43505e+07 651414 278.197 80.803 12.1618 1.15568 98135 296.192 0.77146 -45940.5 9.79742 3772.8 0.234226 -9.7702 434.5 0.278197 
7 1.43505e+07 650979 286.338 82.0192 12.1744 1.15481 98042.9 296.139 0.772145 -47339.8 9.79739 3884.27 0.237773 -9.77015 434.5 0.286338 
7.1 1.43505e+07 650545 294.601 83.2366 12.1869 1.15391 97949.5 296.085 0.772842 -48762 9.79737 3997.35 0.241324 -9.77009 434.5 0.294601 
7.2 1.43505e+07 650110 302.986 84.4553 12.1994 1.15301 97854.8 296.031 0.773552 -50207.1 9.79734 4112.04 0.24488 -9.77003 434.5 0.302986 
7.3 1.43505e+07 649676 311.492 85.6752 12.2118 1.15209 97758.8 295.975 0.774276 -51675.3 9.79732 4228.33 0.248441 -9.76997 434.5 0.311492 
7.4 1.43505e+07 649241 320.121 86.8964 12.2243 1.15117 97661.5 295.919 0.775013 -53166.6 9.79729 4346.22 0.252006 -9.76991 434.5 0.320121 
7.5 1.43505e+07 648807 328.872 88.1188 12.2367 1.15022 97562.9 295.862 0.775764 -54681.2 9.79726 4465.71 0.255575 -9.76985 434.5 0.328872 
7.6 1.43505e+07 648372 337.745 89.3425 12.2492 1.14927 97463 295.805 0.776528 -56219.2 9.79724 4586.79 0.25915 -9.76979 434.5 0.337745 
7.7 1.43505e+07 647938 346.74 90.5674 12.2616 1.1483 97361.7 295.746 0.777307 -57780.6 9.79721 4709.46 0.262729 -9.76973 434.5 0.34674 
7.8 1.43505e+07 647503 355.858 91.7936 12.2739 1.14733 97259.3 295.687 0.7781 -59365.6 9.79718 4833.72 0.266312 -9.76967 434.5 0.355858 
7.9 1.43505e+07 647069 365.099 93.021 12.2863 1.14633 97155.5 295.627 0.778907 -60974.3 9.79715 4959.56 0.269901 -9.7696 434.5 0.365099 
8 1.43505e+07 646634 374.462 94.2496 12.2987 1.14533 97050.4 295.566 0.779728 -62606.8 9.79712 5086.98 0.273494 -9.76954 434.5 0.374462 
8.1 1.43505e+07 646200 383.949 95.4795 12.311 1.14431 96944 295.504 0.780564 -64263.2 9.7971 5215.97 0.277091 -9.76947 434.5 0.383949 
8.2 1.43505e+07 645765 393.558 96.7106 12.3233 1.14328 96836.4 295.442 0.781415 -65943.6 9.79707 5346.53 0.280694 -9.7694 434.5 0.393558 
8.3 1.43505e+07 645331 403.291 97.9429 12.3356 1.14224 96727.5 295.379 0.782281 -67648.1 9.79704 5478.66 0.284301 -9.76934 434.5 0.403291 
8.4 1.43505e+07 644896 413.147 99.1764 12.3478 1.14119 96617.3 295.315 0.783162 -69376.9 9.79701 5612.35 0.287913 -9.76927 434.5 0.413147 
8.5 1.43505e+07 644462 423.126 100.411 12.3601 1.14012 96505.8 295.25 0.784058 -71130.1 9.79697 5747.6 0.291529 -9.7692 434.5 0.423126 
8.6 1.43505e+07 644027 433.229 101.647 12.3723 1.13904 96393.1 295.184 0.78497 -72907.7 9.79694 5884.4 0.295151 -9.76913 434.5 0.433229 
8.7 1.43505e+07 643593 443.456 102.884 12.3845 1.13795 96279.1 295.118 0.785897 -74710 9.79691 6022.74 0.298777 -9.76906 434.5 0.443456 
8.8 1.43505e+07 643158 453.806 104.123 12.3967 1.13685 96163.8 295.05 0.786841 -76537 9.79688 6162.62 0.302408 -9.76899 434.5 0.453806 
8.9 1.43505e+07 642724 464.281 105.363 12.4088 1.13573 96047.2 294.982 0.787801 -78388.9 9.79685 6304.05 0.306044 -9.76891 434.5 0.464281 
9 1.43505e+07 642289 474.879 106.603 12.4209 1.13461 95929.4 294.914 0.788777 -80265.7 9.79682 6447 0.309684 -9.76884 434.5 0.474879 
9.1 1.43505e+07 641855 485.601 107.846 12.433 1.13347 95810.3 294.844 0.789769 -82167.8 9.79678 6591.48 0.313329 -9.76876 434.5 0.485601 
9.2 1.43505e+07 641420 496.448 109.089 12.4451 1.13231 95690 294.773 0.790779 -84095.1 9.79675 6737.47 0.31698 -9.76869 434.5 0.496448 
9.3 1.43505e+07 640986 507.419 110.333 12.4572 1.13115 95568.4 294.702 0.791805 -86047.8 9.79672 6884.98 0.320635 -9.76861 434.5 0.507419 
9.4 1.43505e+07 640551 518.515 111.579 12.4692 1.12997 95445.6 294.63 0.792849 -88026.1 9.79668 7034 0.324294 -9.76853 434.5 0.518515 
9.5 1.43505e+07 640117 529.735 112.826 12.4813 1.12878 95321.5 294.557 0.79391 -90030 9.79665 7184.52 0.327959 -9.76846 434.5 0.529735 
9.6 1.43505e+07 639682 541.08 114.074 12.4933 1.12758 95196.1 294.483 0.794988 -92059.9 9.79661 7336.54 0.331629 -9.76838 434.5 0.54108 
9.7 1.43505e+07 639248 552.55 115.323 12.5052 1.12636 95069.5 294.409 0.796085 -94115.7 9.79658 7490.04 0.335303 -9.7683 434.5 0.55255 
9.8 1.43505e+07 638813 564.145 116.574 12.5172 1.12514 94941.7 294.333 0.7972 -96197.7 9.79654 7645.02 0.338982 -9.76822 434.5 0.564145 
9.9 1.43505e+07 638379 575.865 117.826 12.5291 1.1239 94812.7 294.257 0.798333 -98306 9.79651 7801.49 0.342666 -9.76813 434.5 0.575865 
10 1.43505e+07 637944 587.71 119.079 12.541 1.12265 94682.4 294.18 0.799485 -100441 9.79647 7959.42 0.346355 -9.76805 434.5 0.58771 
10.1 1.43505e+07 637510 599.681 120.333 12.5529 1.12139 94550.9 294.102 0.800657 -102602 9.79643 8118.81 0.350049 -9.76797 434.5 0.599681 
10.2 1.43505e+07 637075 611.777 121.588 12.5647 1.12011 94418.1 294.024 0.801847 -104791 9.7964 8279.65 0.353748 -9.76788 434.5 0.611777 
10.3 1.43505e+07 636641 623.998 122.844 12.5765 1.11882 94284.1 293.944 0.803057 -107006 9.79636 8441.95 0.357452 -9.7678 434.5 0.623998 
10.4 1.43505e+07 636206 636.346 124.102 12.5883 1.11752 94148.9 293.864 0.804287 -109248 9.79632 8605.68 0.361161 -9.76771 434.5 0.636346 
10.5 1.43505e+07 635772 648.819 125.361 12.6001 1.11621 94012.5 293.783 0.805536 -111518 9.79628 8770.84 0.364875 -9.76762 434.5 0.648819 
10.6 1.43505e+07 635337 661.418 126.621 12.6118 1.11489 93874.9 293.701 0.806807 -113815 9.79624 8937.43 0.368594 -9.76753 434.5 0.661418 
10.7 1.43505e+07 634903 674.143 127.882 12.6235 1.11355 93736 293.619 0.808098 -116140 9.7962 9105.44 0.372317 -9.76744 434.5 0.674143 
10.8 1.43505e+07 634468 686.994 129.144 12.6352 1.11221 93596 293.535 0.80941 -118493 9.79616 9274.85 0.376046 -9.76735 434.5 0.686994 
10.9 1.43505e+07 634034 699.972 130.408 12.6469 1.11085 93454.7 293.451 0.810743 -120875 9.79612 9445.67 0.37978 -9.76726 434.5 0.699972 
11 1.43505e+07 633599 713.076 131.673 12.6585 1.10948 93312.3 293.366 0.812099 -123284 9.79608 9617.88 0.383518 -9.76717 434.5 0.713076 
11.1 1.43505e+07 633165 726.307 132.939 12.6701 1.10809 93168.6 293.28 0.813476 -125722 9.79604 9791.47 0.387262 -9.76708 434.5 0.726307 
11.2 1.43505e+07 632730 739.664 134.206 12.6817 1.1067 93023.8 293.193 0.814875 -128189 9.796 9966.44 0.391011 -9.76698 434.5 0.739664 
11.3 1.43505e+07 632296 753.148 135.474 12.6932 1.10529 92877.8 293.105 0.816298 -130684 9.79596 10142.8 0.394765 -9.76689 434.5 0.753148 
11.4 1.43505e+07 631861 766.759 136.743 12.7047 1.10387 92730.6 293.017 0.817743 -133209 9.79592 10320.5 0.398524 -9.76679 434.5 0.766759 
11.5 1.43505e+07 631427 780.496 138.014 12.7162 1.10244 92582.2 292.927 0.819213 -135764 9.79588 10499.5 0.402288 -9.7667 434.5 0.780496 
11.6 1.43505e+07 630992 794.361 139.285 12.7276 1.101 92432.6 292.837 0.820705 -138348 9.79583 10679.9 0.406057 -9.7666 434.5 0.794361 
11.7 1.43505e+07 630558 808.353 140.558 12.7391 1.09954 92281.8 292.746 0.822223 -140962 9.79579 10861.6 0.409831 -9.7665 434.5 0.808353 
11.8 1.43505e+07 630123 822.473 141.832 12.7505 1.09808 92129.9 292.655 0.823765 -143606 9.79575 11044.6 0.41361 -9.7664 434.5 0.822473 
11.9 1.43505e+07 629689 836.72 143.107 12.7618 1.0966 91976.9 292.562 0.825332 -146281 9.7957 11229 0.417394 -9.7663 434.5 0.83672 
12 1.43505e+07 629254 851.094 144.383 12.7731 1.09511 91822.6 292.469 0.826924 -148986 9.79566 11414.6 0.421184 -9.7662 434.5 0.851094 
12.1 1.43505e+07 628820 865.597 145.66 12.7844 1.09361 91667.2 292.374 0.828543 -151722 9.79562 11601.5 0.424978 -9.76609 434.5 0.865597 
12.2 1.43505e+07 628385 880.227 146.939 12.7957 1.0921 91510.7 292.279 0.830188 -154490 9.79557 11789.7 0.428778 -9.76599 434.5 0.880227 
12.3 1.43505e+07 627951 894.984 148.218 12.8069 1.09057 91353 292.183 0.83186 -157289 9.79553 11979.2 0.432583 -9.76589 434.5 0.894984 
12.4 1.43505e+07 627516 909.87 149.499 12.8181 1.08904 91194.1 292.087 0.833559 -160120 9.79548 12170 0.436393 -9.76578 434.5 0.90987 
12.5 1.43505e+07 627082 924.884 150.781 12.8292 1.08749 91034.1 291.989 0.835286 -162983 9.79543 12362 0.440208 -9.76567 434.5 0.924884 
12.6 1.43505e+07 626647 940.026 152.064 12.8403 1.08593 90873 291.891 0.837042 -165878 9.79539 12555.2 0.444028 -9.76557 434.5 0.940026 
12.7 1.43505e+07 626213 955.297 153.348 12.8514 1.08436 90710.8 291.791 0.838826 -168807 9.79534 12749.7 0.447854 -9.76546 434.5 0.955297 
12.8 1.43505e+07 625778 970.696 154.633 12.8625 1.08278 90547.4 291.691 0.84064 -171768 9.79529 12945.4 0.451685 -9.76535 434.5 0.970696 
12.9 1.43505e+07 625344 986.224 155.919 12.8735 1.08119 90382.9 291.591 0.842483 -174763 9.79525 13142.3 0.45552 -9.76524 434.5 0.986224 
13 1.43505e+07 624909 1001.88 157.207 12.8844 1.07958 90217.3 291.489 0.844358 -177792 9.7952 13340.3 0.459362 -9.76513 434.5 1.00188 
13.1 1.43505e+07 624475 1017.67 158.495 12.8953 1.07797 90050.5 291.386 0.846263 -180855 9.79515 13539.6 0.463208 -9.76502 434.5 1.01767 
13.2 1.43505e+07 624040 1033.58 159.785 12.9062 1.07634 89882.7 291.283 0.8482 -183952 9.7951 13740.1 0.46706 -9.7649 434.5 1.03358 
13.3 1.43505e+07 623606 1049.62 161.075 12.9171 1.0747 89713.8 291.179 0.850169 -187085 9.79505 13941.7 0.470916 -9.76479 434.5 1.04962 
13.4 1.43505e+07 623171 1065.79 162.367 12.9279 1.07305 89543.7 291.073 0.852171 -190253 9.795 14144.4 0.474779 -9.76467 434.5 1.06579 
13.5 1.43505e+07 622737 1082.1 163.66 12.9386 1.07139 89372.6 290.968 0.854206 -193456 9.79495 14348.3 0.478646 -9.76456 434.5 1.0821 
13.6 1.43505e+07 622302 1098.53 164.953 12.9493 1.06972 89200.4 290.861 0.856276 -196696 9.7949 14553.3 0.482518 -9.76444 434.5 1.09853 
13.7 1.43505e+07 621868 1115.09 166.248 12.96 1.06804 89027.1 290.753 0.858381 -199972 9.79485 14759.5 0.486396 -9.76432 434.5 1.11509 
13.8 1.43505e+07 621433 1131.78 167.544 12.9706 1.06634 88852.7 290.645 0.860521 -203285 9.7948 14966.7 0.49028 -9.7642 434.5 1.13178 
13.9 1.43505e+07 620999 1148.6 168.841 12.9812 1.06464 88677.2 290.535 0.862697 -206636 9.79475 15175 0.494168 -9.76408 434.5 1.1486 
14 1.43505e+07 620564 1165.54 170.14 12.9918 1.06292 88500.7 290.425 0.864911 -210025 9.79469 15384.4 0.498062 -9.76396 434.5 1.16554 
14.1 1.43505e+07 620130 1182.62 171.439 13.0023 1.06119 88323.1 290.314 0.867162 -213452 9.79464 15594.9 0.501961 -9.76384 434.5 1.18262 
14.2 1.43505e+07 619695 1199.83 172.739 13.0127 1.05945 88144.5 290.203 0.869452 -216919 9.79459 15806.4 0.505865 -9.76372 434.5 1.19983 
14.3 1.43505e+07 619261 1217.17 174.04 13.0231 1.0577 87964.8 290.09 0.871781 -220424 9.79454 16018.9 0.509775 -9.76359 434.5 1.21717 
14.4 1.43505e+07 618826 1234.64 175.343 13.0334 1.05594 87784 289.976 0.874151 -223970 9.79448 16232.5 0.51369 -9.76347 434.5 1.23464 
14.5 1.43505e+07 618392 1252.24 176.646 13.0437 1.05417 87602.2 289.862 0.876561 -227557 9.79443 16447.1 0.51761 -9.76334 434.5 1.25224 
14.6 1.43505e+07 617957 1269.97 177.95 13.054 1.05239 87419.4 289.747 0.879014 -231185 9.79437 16662.7 0.521536 -9.76322 434.5 1.26997 
14.7 1.43505e+07 617523 1287.83 179.256 13.0642 1.0506 87235.5 289.631 0.881509 -234854 9.79432 16879.2 0.525467 -9.76309 434.5 1.28783 
14.8 1.43505e+07 617088 1305.82 180.562 13.0743 1.04879 87050.6 289.514 0.884048 -238566 9.79426 17096.8 0.529404 -9.76296 434.5 1.30582 
14.9 1.43505e+07 616654 1323.94 181.87 13.0844 1.04698 86864.7 289.396 0.886632 -242321 9.79421 17315.3 0.533346 -9.76283 434.5 1.32394 
15 1.43505e+07 616219 1342.19 183.178 13.0944 1.04516 86677.8 289.278 0.889262 -246120 9.79415 17534.7 0.537293 -9.7627 434.5 1.34219 
15.1 1.42644e+07 615787 1360.58 184.487 12.9645 1.04332 86489.9 289.158 0.891939 -249963 9.7941 17755 0.541245 -9.76257 432.457 1.36058 
15.2 1.41783e+07 615356 1379.09 185.784 12.8343 1.04147 86300.9 289.038 0.894635 -253805 9.79404 17973.6 0.545162 -9.76243 430.414 1.37909 
15.3 1.40922e+07 614928 1397.73 187.067 12.7038 1.03962 86111 288.917 0.89735 -257644 9.79398 18190.3 0.549043 -9.7623 428.371 1.39773 
15.4 1.40061e+07 614502 1416.5 188.338 12.5731 1.03775 85920.2 288.795 0.900084 -261481 9.79392 18405.1 0.552889 -9.76217 426.328 1.4165 
15.5 1.392e+07 614077 1435.4 189.595 12.4422 1.03588 85728.4 288.672 0.902837 -265314 9.79387 18617.9 0.556698 -9.76204 424.285 1.4354 
15.6 1.38339e+07 613655 1454.42 190.839 12.311 1.03399 85535.6 288.548 0.905607 -269141 9.79381 18828.8 0.560471 -9.7619 422.242 1.45442 
15.7 1.37478e+07 613235 1473.57 192.07 12.1796 1.03209 85342 288.424 0.908395 -272963 9.79375 19037.5 0.564209 -9.76177 420.199 1.47357 
15.8 1.36617e+07 612817 1492.84 193.288 12.0479 1.03019 85147.5 288.299 0.911199 -276777 9.79369 19244.1 0.56791 -9.76164 418.156 1.49284 
15.9 1.35756e+07 612401 1512.22 194.493 11.916 1.02827 84952.1 288.173 0.914021 -280584 9.79363 19448.6 0.571574 -9.76151 416.113 1.51222 
16 1.34895e+07 611987 1531.73 195.685 11.7838 1.02635 84755.9 288.046 0.916858 -284381 9.79357 19650.8 0.575203 -9.76137 414.07 1.53173 
16.1 1.34034e+07 611575 1551.36 196.863 11.6514 1.02442 84558.9 287.919 0.919711 -288168 9.79351 19850.7 0.578795 -9.76124 412.027 1.55136 
16.2 1.33173e+07 611165 1571.11 198.028 11.5188 1.02248 84361.1 287.79 0.922579 -291945 9.79345 20048.3 0.58235 -9.76111 409.984 1.57111 
16.3 1.32312e+07 610757 1590.97 199.18 11.386 1.02053 84162.5 287.661 0.925462 -295709 9.79339 20243.6 0.585869 -9.76097 407.941 1.59097 
16.4 1.31451e+07 610351 1610.94 200.319 11.2529 1.01857 83963.1 287.532 0.928359 -299460 9.79333 20436.4 0.589351 -9.76084 405.898 1.61094 
16.5 1.30589e+07 609947 1631.03 201.444 11.1196 1.0166 83763 287.401 0.931269 -303197 9.79327 20626.7 0.592796 -9.76071 403.855 1.63103 
16.6 1.29728e+07 609545 1651.23 202.556 10.9861 1.01463 83562.2 287.27 0.934192 -306918 9.7932 20814.6 0.596204 -9.76058 401.812 1.65123 
